source_type,source_name,RA,DEC,z_hetdex,z_hetdex_conf
lae,HETDEX J012809.05-010619.7,22.037708,-1.105466,2.162478,0.95
lae,HETDEX J012808.66-010619.2,22.036074,-1.105345,2.7688794,0.95
lae,HETDEX J013608.63-010615.5,24.035955,-1.104304,2.3199906,0.95
lae,HETDEX J020009.09-010603.7,30.037857,-1.10102,2.3317978,0.26650152
lae,HETDEX J013605.08-010533.9,24.021162,-1.092748,1.9970675,0.95
lae,HETDEX J021803.25-010526.2,34.51355,-1.090609,2.1105094,0.42432633
lae,HETDEX J012805.91-010525.3,22.024614,-1.090367,2.343729,0.95
lae,HETDEX J020003.68-010519.4,30.015327,-1.088721,2.6138442,0.95
lae,HETDEX J012805.19-010516.5,22.021635,-1.08793,2.3269272,0.95
lae,HETDEX J012804.68-010507.9,22.019495,-1.08553,3.0469275,0.95
lae,HETDEX J012758.78-010453.1,21.994926,-1.081413,2.5483963,0.95
lae,HETDEX J013611.94-010450.3,24.049738,-1.08063,2.5314634,0.95
lae,HETDEX J015802.05-010448.9,29.508543,-1.080263,2.515081,0.95
lae,HETDEX J014159.64-010434.6,25.49849,-1.076268,2.4590306,0.95
lae,HETDEX J011158.23-010433.3,17.992638,-1.075918,2.330251,0.95
lae,HETDEX J012759.23-010428.0,21.99678,-1.07445,2.0869849,0.95
lae,HETDEX J021756.98-010417.5,34.48742,-1.071529,3.4537559,0.95
lae,HETDEX J012758.81-010415.3,21.995049,-1.070922,2.9497359,0.95
lae,HETDEX J021957.06-010407.4,34.987743,-1.068719,2.393937,0.95
lae,HETDEX J022143.06-010404.6,35.429413,-1.067956,2.6377387,0.95
lae,HETDEX J020006.27-010358.6,30.026138,-1.066285,3.1966982,0.28033125
lae,HETDEX J015735.90-010344.4,29.399588,-1.062324,2.9225912,0.95
lae,HETDEX J020009.48-010342.9,30.03952,-1.061925,2.27049,0.95
agn,HETDEX J013620.78-010341.9,24.086594,-1.061652,2.753,1.0
lae,HETDEX J011135.09-010340.9,17.896193,-1.061369,1.9945087,0.95
lae,HETDEX J013608.37-010335.1,24.034895,-1.059743,1.9860582,0.95
lae,HETDEX J011135.92-010332.8,17.899683,-1.05912,3.084103,0.95
lae,HETDEX J013622.48-010332.8,24.093685,-1.059114,3.3052864,0.13068078
lae,HETDEX J012807.61-010330.2,22.031704,-1.058383,2.0167167,0.95
lae,HETDEX J015750.67-010327.8,29.461115,-1.057729,2.6726017,0.44780207
lae,HETDEX J020023.22-010327.5,30.096756,-1.057644,2.7734797,0.95
lae,HETDEX J015735.05-010312.8,29.396059,-1.053554,3.2318325,0.95
lae,HETDEX J021000.11-010305.9,32.500465,-1.051636,3.2476559,0.95
lae,HETDEX J014201.80-010304.3,25.50748,-1.051201,3.0846462,0.45368645
lae,HETDEX J015743.25-010257.7,29.43021,-1.049355,2.7789848,0.95
lae,HETDEX J021816.26-010256.4,34.56776,-1.049002,2.565997,0.95
lae,HETDEX J021800.35-010249.9,34.50144,-1.047196,3.093039,0.95
lae,HETDEX J011217.08-010241.0,18.07115,-1.044736,2.435654,0.95
